City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,timbuktu,16.7735,-3.0074,33.13,21,100,2.42,ML,1683610430
141,amacuzac,18.5833,-99.35,28.08,66,77,1.31,MX,1683610430
142,humaita,-7.5061,-63.0208,23.22,99,100,1.56,BR,1683610430
143,korla,41.7597,86.1469,17.59,26,0,1.95,CN,1683610431
144,yatou,37.15,122.3833,21.24,39,95,2.46,CN,1683610431
145,oranjemund,-28.55,16.4333,14.56,66,0,2.87,NA,1683610431
146,ola,59.5833,151.2833,10.08,73,45,1.05,RU,1683610431
147,hadibu,12.65,54.0333,29.46,64,95,2.28,YE,1683610432
148,revda,56.801,59.9303,6.97,33,2,2.22,RU,1683610432
149,santa rita,-7.1139,-34.9781,24.37,100,0,2.06,BR,1683610432
150,vidin,43.99,22.8725,8.47,95,100,3.93,BG,1683610432
151,suarez,2.954,-76.6964,19.9,95,100,0.91,CO,1683610432
152,labrador city,52.9463,-66.9114,-2.05,69,100,3.09,CA,1683610433
153,xinpu,34.5997,119.1594,24.94,19,56,4.17,CN,1683610433
154,timaru,-44.4,171.25,15.04,83,100,3.29,NZ,1683610433
155,korenevo,55.6719,38.0078,9.6,57,0,0.0,RU,1683610407
156,shuangyang,43.5242,125.6736,18.59,16,0,7.09,CN,1683610433
157,ballina,-28.8667,153.5667,20.56,64,0,3.18,AU,1683610433
158,genhe,50.7833,121.5167,13.03,23,97,6.2,CN,1683610434
159,varzea da palma,-17.5981,-44.7308,17.48,69,17,0.53,BR,1683610434
160,argo,37.6333,22.7333,18.21,64,100,1.86,GR,1683610434
161,bredasdorp,-34.5322,20.0403,12.39,93,39,1.44,ZA,1683610434
162,tazacorte,28.629,-17.9293,20.54,68,0,6.69,ES,1683610434
163,opuwo,-18.0607,13.84,19.85,37,2,2.76,NA,1683610435
164,monze,-16.2833,27.4833,17.73,53,0,3.12,ZM,1683610435
165,iskateley,67.6803,53.1512,0.44,93,88,5.9,RU,1683610435
166,mirabela,-16.2628,-44.1644,18.2,66,61,1.72,BR,1683610435
167,bereket,39.2446,55.5154,24.85,41,20,8.34,TM,1683610435
168,brcko,44.8728,18.8083,9.9,80,100,1.8,BA,1683610436
169,jamestown,42.097,-79.2353,11.8,78,0,2.57,US,1683610436
170,ilulissat,69.2167,-51.1,-1.99,93,100,2.57,GL,1683610436
171,port elizabeth,-33.918,25.5701,16.29,95,0,4.12,ZA,1683610436
172,port lincoln,-34.7333,135.8667,16.26,62,73,4.53,AU,1683610436
173,hami,42.8,93.45,20.0,16,48,5.49,CN,1683610437
174,isafjordur,66.0755,-23.124,4.91,97,100,2.44,IS,1683610437
175,grootfontein,-19.5667,18.1167,10.76,71,0,1.54,NA,1683610437
176,yinchuan,38.4681,106.2731,17.62,49,90,2.29,CN,1683610437
177,alderetes,-26.8167,-65.1333,13.95,82,0,4.12,AR,1683610437
178,tazovsky,67.4667,78.7,-9.31,83,83,8.45,RU,1683610438
179,muroto-misakicho,33.2833,134.15,17.57,65,47,4.13,JP,1683610438
180,neryungri,56.6709,124.6491,1.73,62,68,4.71,RU,1683610438
181,mulki,13.1,74.8,31.6,70,40,3.6,IN,1683610231
182,ngorongoro,-3.2397,35.4875,12.57,86,91,2.77,TZ,1683610438
183,kulebaki,55.4133,42.5325,9.6,44,7,1.42,RU,1683610439
184,baishishan,43.5833,127.5667,15.99,19,13,7.9,CN,1683610439
